,Dates,EWJ,VB,EEM,VTV,VTI,EFA,VEA,VWO,IWM,IJH,IJR,IWF,VUG,SPY,mu,0.000470706,0.000723156,0.000602255,0.00048788,0.00060917,0.000365491,0.000418555,0.000539102,0.000827748,0.000660334,0.000840463,0.000736915,0.000707436,0.000567947
10,6-Jun-18,0.004304636,0.008250825,0.015073213,0.009003886,0.008850179,0.008987161,0.008510638,0.014386897,0.007240693,0.008456553,0.006354436,0.008161866,0.007841328,0.008360596,,60.66,158.46,46.42,106.73,143.42,70.33,44.77,45.13,166.02,199.24,85.2,146.31,152.29,277.37
11,5-Jun-18,-0.001817881,0.004526618,-0.007692308,-9.48E-05,0.001477209,-0.001566728,-0.001118568,-0.008775779,0.006192702,0.002385666,0.007230058,0.003510221,0.002510239,0.000727537,,60.66,158.86,47.14,106.46,143.63,70.73,45.03,45.83,166.93,199.15,85.52,146.99,152.95,277.4
12,4-Jun-18,0.005985037,0.00467589,0.010144615,0.002755868,0.004664311,0.003,0.004494382,0.010418976,0.005310059,0.005666156,0.011509411,0.007628823,0.007252645,0.004751462,,60.4,157.56,46.44,105.51,142.37,70.1,44.65,45.18,165.73,197.48,84.98,145.8,151.76,275.1
13,1-Jun-18,0.006863073,0.007290793,0.014007441,0.009497314,0.010425593,0.008645533,0.007471134,0.011208249,0.006573693,0.005801715,0.006880734,0.012356947,0.011985725,0.009817672,,60.51,156.85,46.8,105.52,142.16,70.21,44.7,45.58,164.71,197.01,84.37,145.29,151.38,274.9
14,31-May-18,-0.006816293,-0.008698433,-0.000437541,-0.008748574,-0.006878945,-0.006300115,-0.005404188,0.001122083,-0.00798391,-0.011169214,-0.010511228,-0.005307633,-0.004624665,-0.006125967,,60.15,156.12,46.33,105.23,141.5,70,44.5,45.11,163.84,195.9,83.41,144.19,150.29,273.6
15,30-May-18,0.007031642,0.014271813,0.007938258,0.014372528,0.012930106,0.015263846,0.014390132,0.008829522,0.01584943,0.015518664,0.014050388,0.01065782,0.011319732,0.013344733,,59.74,154.99,45.69,104.24,140.04,69.4,44.17,44.61,162.77,194.77,82.84,142.43,148.51,270.94
16,29-May-18,-0.006652253,-0.002717216,-0.023260823,-0.014168886,-0.009886202,-0.020364568,-0.020143241,-0.022138588,-0.001360208,-0.003851882,0.000605987,-0.007008691,-0.007534477,-0.01150101,,60.15,156.35,45.71,105.16,141.01,69.84,44.41,44.56,164.08,196.97,83.72,143.19,149.2,272.61
17,28-May-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,59.73,154.15,45.35,103.67,139.21,68.79,43.78,44.17,161.52,193.96,82.56,141.68,147.53,269.02
18,25-May-18,-0.0033151,-0.001098617,0.004108997,-0.003411676,-0.001916661,-0.006508206,-0.005564211,0.00244119,-0.001789792,-0.002765685,-0.001452257,-0.000840336,-0.001477799,-0.002382698,,60.13,154.57,46.43,105.16,140.6,70.22,44.68,45.17,161.74,194.71,82.51,142.68,148.65,272.15
19,24-May-18,-0.006095552,0.001099825,-0.005377501,-0.002835003,-0.00163005,-0.003102962,-0.003327418,-0.003538257,0.000370439,0.000871437,0.000242101,0.000350263,-0.000537093,-0.002048581,,60.13,154.57,46.43,105.16,140.6,70.22,44.68,45.17,161.74,194.71,82.51,142.68,148.65,272.15
20,23-May-18,-0.0039383,0.000971377,-0.000430015,-0.000377858,0.002629148,-0.011019668,-0.009448473,-0.004403347,0.00129822,0.00082085,0.000969344,0.005777496,0.006418919,0.002751183,,60.33,154.74,46.24,105.52,140.87,70.68,44.93,45.06,162.03,195.25,82.63,142.8,148.87,272.8
21,22-May-18,-0.002292076,-0.007519763,0.003451996,-0.001226531,-0.003681416,-0.001253831,-0.000658762,0.00397878,-0.00724193,-0.00687828,-0.008172095,-0.004977566,-0.004774393,-0.002780115,,60.7,154.57,46.49,105.82,141.1,70.9,45.08,45.22,161.97,195.08,82.61,142.75,148.95,273.36
22,21-May-18,0.001147353,0.007250599,0.006077708,0.008276256,0.007489301,0.006308706,0.00640884,0.006451613,0.006610243,0.009723223,0.009217708,0.007486933,0.006633724,0.00751852,,60.94,154.42,46.51,105.86,140.73,71.69,45.51,45.42,161.76,194.92,82.53,141.93,148,272.61
23,18-May-18,-0.002452583,0.000259017,-0.008394318,-0.003885151,-0.002206249,-0.003631792,-0.003523453,-0.009257218,0.001299023,-0.002053599,0.002066116,-0.000141243,-0.00087921,-0.002499908,,61.08,155.59,46.35,105.99,141.25,71.78,45.54,45.24,162.94,196.27,83.21,142.64,148.71,273.37
24,17-May-18,-0.000163479,0.00331341,-0.015260704,-0.000378896,0.000284758,0.001538892,0.001323043,-0.01391002,0.004598558,0.002057825,0.006113964,-0.001269573,-0.00054076,-0.000844843,,61.01,154.47,46.07,105.12,140.2,71.33,45.25,44.95,161.87,194.38,82.45,141.58,147.73,271.33
25,16-May-18,0.002951303,0.007593611,0.015060241,0.003994294,0.00486444,0.001400953,0.00309666,0.014106238,0.010423207,0.007045902,0.011878248,0.005104211,0.004754143,0.00420509,,61.16,154.43,46.46,105.53,140.51,71.59,45.41,45.37,161.66,194.78,82.28,141.6,147.86,272.01
26,15-May-18,-0.010223953,-0.001176932,-0.020648968,-0.004638395,-0.0060438,-0.007232267,-0.008335161,-0.019027027,0.000188407,-0.002892861,0.000495172,-0.008435259,-0.009285426,-0.006886951,,61.17,153.92,47.18,105.57,140.47,71.48,45.35,46.01,160.92,194.38,81.78,141.78,147.94,272.24
27,14-May-18,0.005548303,-0.002153063,0.001265823,0.001801802,0.000497973,0.001811342,0.001757855,0.003036218,-0.003816316,-0.001135191,-0.004314064,0.000210926,-0.000672405,0.000476452,,60.99,152.76,46.48,105.15,139.79,71.38,45.21,45.37,159.26,193.02,80.82,141.06,147.24,271.1
28,11-May-18,0.007563302,0.001764706,-0.00168492,0.003139269,0.001995866,0.002654373,0.001981506,-0.003457964,0.001943208,0.000826276,0.001604938,0.001831373,0.001144396,0.003051246,,61.62,152.94,47.46,105.64,140.64,71.9,45.59,46.25,159.23,193.58,80.78,142.26,148.62,272.98
29,10-May-18,0.005787994,0.005124162,0.02085573,0.009410409,0.008700029,0.006467942,0.007095344,0.019836897,0.005356693,0.007544617,0.005336974,0.008954587,0.009171196,0.009350649,,61.28,153.27,47.4,105.45,140.57,71.77,45.51,46.11,159.84,193.8,81.13,142.23,148.72,272.85
